Market,State,Weeks,Periods,TORTILLAS_KGS,TORTILLAS_PROMODOLLARS,TORTILLAS_PROMOKGS,TORTILLAS_DOLLARS,TORTILLAS_TDP,TORTILLAS_U,TOSTADAS_KGS,TOSTADAS_PROMODOLLARS,TOSTADAS_PROMOKGS,TOSTADAS_DOLLARS,TOSTADAS_TDP,TOSTADAS_U,TARTAS_KGS,TARTAS_PROMODOLLARS,TARTAS_PROMOKGS,TARTAS_DOLLARS,TARTAS_TDP,TARTAS_U,GALLETAS_KGS,GALLETAS_PROMODOLLARS,GALLETAS_PROMOKGS,GALLETAS_DOLLARS,GALLETAS_TDP,GALLETAS_U
Buffalo/Rochester,Nueva York,11/07/2021,P1,60586.74729,0,0,314435.0264,1645.941934,109467.581,8039.93555,0,0,36990.94826,364.5566377,10528.82744,110824.7687,0,0,598483.9214,3672.839503,217622.5149,46888.69508,0,0,219628.251,933.2725199,59924.32973
Philadelphia,Pennsylvania,11/07/2021,P1,128187.3151,0,0,667015.213,1446.492647,227725.6431,21174.23654,0,0,93512.0406,332.509224,30079.98833,120678.055,0,0,667196.1505,2877.600598,236943.8443,129875.9939,0,0,575370.9124,869.6167965,172242.7247
South Carolina,Carolina del Sur,11/07/2021,P1,148383.2336,0,0,762844.8535,1786.722552,294541.7049,17382.88574,0,0,75867.97068,313.9876582,25192.55059,215472.0257,0,0,1219621.98,3783.204383,446740.7534,112350.6675,0,0,493739.0004,904.4048098,150371.3236
5 Boroughs New York City,Nueva York,11/07/2021,P1,69258.9775,293826.7995,50167.19949,437806.4958,928.2529895,148096.2762,13901.10249,49991.90681,10270.52486,71049.05681,187.6299748,20185.83806,80690.34691,380716.467,67015.51465,487756.8326,1750.910086,186307.4317,54254.09037,201161.7771,41911.77445,268760.689,526.9452037,75470.7085
Charlotte,Carolina del Norte,11/07/2021,P1,69108.20578,0,0,372755.5745,1768.574221,131445.0876,10040.80123,0,0,44365.15409,335.8752317,14565.66334,88835.17516,0,0,510174.2066,3602.993722,172025.9477,53724.88034,0,0,235275.2279,957.2539314,71871.49245
Roanoke,Virginia,11/07/2021,P1,82812.49438,0,0,404026.3423,1660.77672,144486.4985,4972.644654,0,0,21102.72867,287.7969673,7239.741889,100457.445,0,0,544459.4192,3875.086043,191244.563,44390.177,0,0,194303.3102,876.8767869,58708.33901
San Diego,California,11/07/2021,P1,65062.3218,194836.4409,39491.67289,338045.5603,1758.585481,115679.0319,12055.84478,34013.32092,7195.807354,58292.81825,387.7611962,18144.00106,79916.12292,272038.392,49670.71184,453667.4293,3715.3418,160975.1401,29967.4607,81437.10084,18167.88183,135574.397,904.0696608,38863.41771
Milwaukee,Wisconsin,11/07/2021,P1,83391.40374,308549.4588,66646.80614,394130.5646,1564.214644,145034.3561,7379.526902,9487.568618,1984.084887,36579.34553,367.6211419,10756.21944,88999.86093,323049.4054,62244.13103,464926.8722,3510.509721,160509.3901,46325.29049,94655.33364,22734.30416,204572.3413,967.1773787,57175.78241
Miami/Ft Lauderdale,Florida,11/07/2021,P1,92924.82184,324766.5522,66048.93771,504859.0619,1709.339881,219391.0735,24724.73963,80223.5301,17791.71923,114174.6039,367.6679122,34497.61412,92692.026,240306.7458,38750.7142,611399.7675,3274.105344,239913.3479,76249.6785,229405.6025,50726.57981,353489.3683,867.2028092,104180.501
Oklahoma City,Oklahoma,11/07/2021,P1,45117.01715,129128.3201,25733.75951,218303.1628,1794.885808,72688.52105,3326.785418,8411.353633,1950.881057,14945.87529,261.0324016,4895.836174,57743.89221,200157.6415,38779.24473,295815.3939,3748.477332,103282.7356,30202.5201,53721.7649,12912.00255,128731.1352,918.1403634,37362.67782
