Market,State,Weeks,Periods,Month,Year,TORTILLAS_KGS,TORTILLAS_PROMODOLLARS,TORTILLAS_PROMOKGS,TORTILLAS_DOLLARS,TORTILLAS_TDP,TORTILLAS_U,TOSTADAS_KGS,TOSTADAS_PROMODOLLARS,TOSTADAS_PROMOKGS,TOSTADAS_DOLLARS,TOSTADAS_TDP,TOSTADAS_U
Des Moines,Iowa,18/07/2021,P1,7,2021,24340.16446,0,0,117473.9684,1643.647299,37179.77597,1656.158396,0,0,8165.573829,304.3786768,2415.369591
Jacksonville,Florida,18/07/2021,P1,7,2021,40959.14909,143187.5413,29591.21892,211564.3966,1746.065829,83330.60092,6312.172297,18716.78189,4291.56644,28419.49319,356.5249978,8879.851206
Wichita,Kansas,18/07/2021,P1,7,2021,27007.89632,0,0,125839.5934,1684.579958,44606.75066,1558.392783,0,0,7353.493217,314.0206752,2281.773067
Raleigh/Greensboro,Carolina del Norte,18/07/2021,P1,7,2021,77143.09285,0,0,413850.615,1702.628272,146264.3605,10714.27717,0,0,53559.26917,312.3122484,15603.35111
Hartford/Springfield,Massachusetts,18/07/2021,P1,7,2021,50142.82046,0,0,280380.2946,1382.950615,96810.77099,6534.044946,0,0,33644.04405,301.3432843,9536.831049
Denver,Colorado,18/07/2021,P1,7,2021,113871.2532,395787.008,90930.22326,518017.4518,1859.051467,189130.5703,17262.53195,51794.62102,10644.44146,85559.86864,459.8925129,24573.98041
Los Angeles,California,18/07/2021,P1,7,2021,314673.1634,1039631.419,212601.7444,1628513.452,1796.282996,561672.6416,36819.78369,108893.8247,23583.39698,176674.1346,379.1459287,56519.31701
Sacramento,California,18/07/2021,P1,7,2021,51465.48876,0,0,266357.9863,1874.229389,88935.08415,8374.299694,0,0,42419.81041,398.5453229,12243.02713
Indianapolis,Indiana,18/07/2021,P1,7,2021,72470.41617,239482.6798,50661.52836,352745.8111,1646.627389,127563.0093,5644.397376,10294.48725,2054.54734,27363.74122,344.5316638,8221.370293
Tampa/St Petersburg,Florida,18/07/2021,P1,7,2021,84668.53791,292452.2653,60246.93653,431300.1498,1723.348095,169596.282,15174.14819,49711.90596,11424.49271,67663.84668,350.045221,21737.07067
Kansas City,Kansas,18/07/2021,P1,7,2021,52402.71821,154500.5212,32642.17529,269668.0643,1651.467072,86723.49721,4190.735142,5509.461423,1222.053023,22173.01148,286.0818683,6104.993162
San Francisco/Oakland,California,18/07/2021,P1,7,2021,61669.66631,143509.743,25993.21072,363399.4267,1802.549651,119177.7344,15109.82592,51432.50158,9835.720953,79269.49922,380.1307425,22078.87856
Boise,Idaho,18/07/2021,P1,7,2021,14904.02109,0,0,70675.06866,2093.305321,25106.07579,1935.586683,0,0,9828.88989,376.2050123,2742.930033
Phoenix/Tucson,Arizona,18/07/2021,P1,7,2021,139904.5704,435995.2462,95311.24565,679594.0617,1798.164434,243221.5256,16624.31412,16655.88348,3330.295753,84825.5077,425.7767273,25805.8352
Birmingham/Montgomery,Alabama,18/07/2021,P1,7,2021,117951.3174,0,0,601885.0671,1814.576054,233125.9171,10043.29489,0,0,46392.79378,287.5550346,14353.51095
Louisville,Kentucky,18/07/2021,P1,7,2021,39882.22111,0,0,193945.2572,1695.702521,71599.35383,2948.319871,0,0,14338.37938,362.7046391,4295.725195
Peoria/Springfield,Illinois,18/07/2021,P1,7,2021,56069.70903,184006.8193,38445.48071,272602.4652,1651.36297,95659.21126,3624.632853,3351.016091,659.6579142,17930.45939,309.3997924,5277.567204
Atlanta,Georgia,18/07/2021,P1,7,2021,117390.0738,0,0,617293.2531,1786.956368,252442.8504,17088.48182,0,0,78905.15719,374.3635716,24611.46221
Chicago,Illinois,18/07/2021,P1,7,2021,212982.5939,699540.7671,159851.7883,1032278.556,1604.956271,411776.9538,17649.07439,33694.59253,6415.371233,94070.09963,305.3663489,25724.1516
Wichita,Kansas,25/07/2021,P1,7,2021,28370.12071,0,0,132735.1934,1609.547863,44960.87612,1496.894193,0,0,6782.953151,280.8530177,2192.854681
Atlanta,Georgia,25/07/2021,P1,7,2021,108557.1075,0,0,598666.7089,1763.332007,227785.0158,15407.90781,0,0,78508.11155,369.78085,22162.51275
Indianapolis,Indiana,25/07/2021,P1,7,2021,69846.24252,233071.8657,48899.80799,346714.6126,1614.937028,123923.3334,5502.820129,12550.03232,2724.778215,25800.32958,344.7880271,8137.914027
Louisville,Kentucky,25/07/2021,P1,7,2021,36687.6404,0,0,185232.6783,1673.824983,67028.21645,3075.491239,0,0,14283.79286,369.6622139,4504.465511
San Diego,California,25/07/2021,P1,7,2021,62820.01686,207182.82,42097.56807,322509.4496,1732.869534,112086.1085,10193.64896,30295.63634,6516.156582,48927.31416,380.8705872,15397.95089
Kansas City,Kansas,25/07/2021,P1,7,2021,60641.6819,160935.4993,37060.72193,298418.1525,1605.611734,93757.5338,3185.798544,6341.864934,1360.809356,16460.12571,256.7104498,4638.454372
Miami/Ft Lauderdale,Florida,25/07/2021,P1,7,2021,72042.05068,178236.2946,31058.0746,456622.5784,1646.926924,179206.8095,20383.31573,70274.14613,13744.47532,104160.4661,348.4136541,27180.49002
Orlando,Florida,25/07/2021,P1,7,2021,78409.42884,177322.5043,35787.23362,428081.8107,1669.561564,152340.9749,13810.21985,37406.79076,7440.124698,68992.75053,378.8327478,19088.71772
Birmingham/Montgomery,Alabama,25/07/2021,P1,7,2021,110288.0063,0,0,574468.5873,1760.095339,218499.9193,9934.945836,0,0,49839.64956,297.8322959,14977.761
Little Rock,Arkansas,25/07/2021,P1,7,2021,26825.33832,0,0,132559.2535,1847.794985,50184.90609,1611.142458,0,0,7625.84624,310.4521186,2537.284142
Peoria/Springfield,Illinois,25/07/2021,P1,7,2021,54008.51288,152463.3293,33155.15992,267360.6248,1608.275602,91364.97788,3785.466316,9269.052192,2065.68349,18353.86678,312.2033869,5825.873348
Charlotte,Carolina del Norte,25/07/2021,P1,7,2021,64640.19148,0,0,351632.0019,1672.966467,117465.3845,8452.068867,0,0,42988.14246,325.9896245,12328.42752
Chicago,Illinois,25/07/2021,P1,7,2021,192462.7259,692408.3271,133952.0888,1045569.912,1578.611439,367768.9288,18636.72544,40499.94349,8434.373739,96769.44214,305.3880179,27222.58237
Los Angeles,California,25/07/2021,P1,7,2021,367636.8185,1271867.344,270721.7347,1818349.706,1783.930032,647924.749,34054.63566,102735.2365,22129.95355,163740.3342,372.3400581,52494.97417
Sacramento,California,25/07/2021,P1,7,2021,51339.08641,0,0,268455.0515,1831.254114,87143.42317,8867.388148,0,0,41474.82347,398.7348009,12955.0307
Des Moines,Iowa,25/07/2021,P1,7,2021,28045.13119,0,0,126953.9561,1590.317858,40349.59107,1283.436417,0,0,6739.816598,279.4434925,1865.759442
Jacksonville,Florida,25/07/2021,P1,7,2021,32066.87093,66037.73577,13442.056,182455.7551,1705.032821,66380.14704,5389.009006,17032.96389,3398.883948,27228.81961,349.1560635,7583.820479
South Carolina,Carolina del Sur,25/07/2021,P1,7,2021,130363.8321,0,0,688820.2301,1674.784788,253263.2338,14498.57402,0,0,73481.77377,312.0548377,21313.84021
Tampa/St Petersburg,Florida,25/07/2021,P1,7,2021,68777.5934,161298.8292,31314.1729,381674.3981,1663.435205,137904.539,12693.59284,45217.73827,8460.973638,66066.58763,344.4363225,17905.12401
Raleigh/Greensboro,Carolina del Norte,25/07/2021,P1,7,2021,74828.77293,0,0,404492.8515,1622.561667,137507.7993,10173.10657,0,0,51521.04268,309.1628965,14875.73467
Hartford/Springfield,Massachusetts,25/07/2021,P1,7,2021,50270.56434,0,0,282268.6798,1382.685846,98273.05094,6885.302152,0,0,35370.99505,306.7339427,10203.92284
San Francisco/Oakland,California,25/07/2021,P1,7,2021,69405.78623,235016.963,45461.73768,381433.5549,1787.796132,132038.6056,16529.44568,60685.06899,13780.31178,75688.54034,380.0522978,24107.44681
Boise,Idaho,25/07/2021,P1,7,2021,13579.26897,0,0,66886.3842,2067.144681,23390.36136,2295.174068,0,0,9523.282576,384.4989471,3278.264943
Denver,Colorado,25/07/2021,P1,7,2021,99700.51532,378234.0449,81020.36351,478474.8519,1797.480163,165185.4574,18807.7093,68588.86302,15192.44097,84892.25489,452.9016456,26670.70316
Phoenix/Tucson,Arizona,25/07/2021,P1,7,2021,143381.4762,463824.2979,102271.6457,682675.6266,1791.043854,249697.1663,19157.73502,55987.25071,13076.67745,87040.83906,429.2430648,29483.43962
Boston,Massachusetts,25/07/2021,P1,7,2021,80962.03052,0,0,466088.1139,1453.319486,161772.1888,15061.14751,0,0,72749.85985,323.9671536,21816.23741
Wichita,Kansas,01/08/2021,P1,8,2021,28098.9892,0,0,128468.8137,1546.742758,44272.17905,1275.679632,0,0,5170.04277,249.7762384,1860.782882
Hartford/Springfield,Massachusetts,01/08/2021,P1,8,2021,54932.34837,0,0,296458.8864,1377.295022,104934.0933,6910.627609,0,0,34863.12812,312.8538124,10297.90503
Atlanta,Georgia,01/08/2021,P1,8,2021,106782.1028,0,0,585396.537,1723.263157,223810.6302,15904.73807,0,0,75877.0488,375.4502543,22924.74862
