Market,State,Weeks,Periods,Month,Year,TORTILLAS_KGS,TORTILLAS_PROMODOLLARS,TORTILLAS_PROMOKGS,TORTILLAS_DOLLARS,TORTILLAS_TDP,TORTILLAS_U,TOSTADAS_KGS,TOSTADAS_PROMODOLLARS,TOSTADAS_PROMOKGS,TOSTADAS_DOLLARS,TOSTADAS_TDP,TOSTADAS_U
Sacramento,California,02/01/2022,P1,1,2022,61148.59988,0,0,344613.989,1463.597607,101724.8935,7964.422494,0,0,46582.7131,392.1967113,11721.32906
Des Moines,Iowa,02/01/2022,P1,1,2022,31221.74185,0,0,162278.5671,1383.368757,47153.8131,2323.857471,0,0,10634.23197,319.1866522,3393.789687
Jacksonville,Florida,02/01/2022,P1,1,2022,36266.25397,105525.4853,19338.10711,218061.1717,1345.943984,74084.53273,6929.025934,26564.93733,4919.13985,37774.91274,357.8631736,9354.067809
Louisville,Kentucky,02/01/2022,P1,1,2022,45757.75841,0,0,239042.9925,1525.611286,79319.62077,3433.247972,0,0,16540.98366,268.1514161,5028.312687
Peoria/Springfield,Illinois,02/01/2022,P1,1,2022,67735.55141,234335.7859,46215.65467,345850.8545,1385.187654,111747.7109,4282.525372,13445.58689,2795.842133,21273.72943,258.9760698,6286.665603
South Carolina,Carolina del Sur,02/01/2022,P1,1,2022,129893.8333,0,0,740446.3758,1368.254304,261856.3287,14039.68562,0,0,71000.6441,274.7640214,20364.37961
San Diego,California,02/01/2022,P1,1,2022,70457.24326,237089.5981,44342.86777,409378.8673,1464.007751,122651.1956,14887.40889,59101.12713,11501.65411,78314.88239,392.0476133,22675.66484
Hartford/Springfield,Massachusetts,02/01/2022,P1,1,2022,62792.77068,0,0,361151.1119,1096.001875,108804.1595,8672.309081,0,0,43297.70885,283.0688227,12564.80709
Atlanta,Georgia,02/01/2022,P1,1,2022,119993.1113,0,0,690981.2356,1273.15872,244683.245,23147.26266,0,0,120296.8042,340.4457653,31129.13547
Orlando,Florida,02/01/2022,P1,1,2022,83826.49334,262947.5567,48850.63092,500333.1671,1323.41074,164868.4906,16170.18349,51806.27431,10044.87746,86769.6813,343.8825094,21350.94858
Boston,Massachusetts,02/01/2022,P1,1,2022,94512.92956,0,0,562219.2268,1139.6949,170501.1149,13826.8637,0,0,73501.38379,308.2561595,19919.27587
Little Rock,Arkansas,02/01/2022,P1,1,2022,30463.85654,0,0,161875.0852,1518.708247,55627.14453,2140.682415,0,0,10545.10455,333.5438811,3175.224603
Wichita,Kansas,02/01/2022,P1,1,2022,32086.42118,0,0,156372.6567,1319.425553,50702.14115,2126.265189,0,0,9829.661956,275.1405622,3167.985439
Charlotte,Carolina del Norte,02/01/2022,P1,1,2022,74163.28916,0,0,432454.1325,1419.12717,140310.3596,8115.795689,0,0,37639.14097,275.6478084,11806.20151
Miami/Ft Lauderdale,Florida,02/01/2022,P1,1,2022,72431.05293,186382.8972,32750.00365,503153.2493,1297.786673,174779.2752,26123.19321,98876.7727,18186.22225,147140.0799,342.8095173,34442.08106
Denver,Colorado,02/01/2022,P1,1,2022,106566.8066,430036.1592,80712.32019,563581.2798,1481.612783,172588.651,24035.27884,94065.41978,19381.61726,120480.8176,449.4753796,34563.77563
Birmingham/Montgomery,Alabama,02/01/2022,P1,1,2022,111602.7157,0,0,630502.2697,1250.768645,221332.8119,12088.11001,0,0,65973.84578,228.8477587,17082.96798
Los Angeles,California,02/01/2022,P1,1,2022,434141.9514,1601918.824,309486.3928,2390738.418,1471.826552,767038.5532,50450.19561,205074.511,40871.55629,260773.0103,384.6177981,78096.23478
South Carolina,Carolina del Sur,09/01/2022,P1,1,2022,119522.9844,0,0,705856.8076,1380.615959,251778.3008,12411.31891,0,0,69269.15431,253.352521,18124.54079
Charlotte,Carolina del Norte,09/01/2022,P1,1,2022,71578.74653,0,0,429348.9496,1389.247227,135757.0611,7669.158993,0,0,40712.97087,263.1007612,11283.78958
San Diego,California,09/01/2022,P1,1,2022,52529.9996,172696.0625,30906.04012,319268.7343,1456.547695,96101.51655,12534.4821,41873.49893,8497.213923,64960.32315,411.2742962,19043.20679
Miami/Ft Lauderdale,Florida,09/01/2022,P1,1,2022,58804.55549,123788.4623,19625.86518,433420.0169,1277.240802,161863.0806,22683.81871,105375.2379,17340.39798,134643.2231,327.8057703,31572.88148
Orlando,Florida,09/01/2022,P1,1,2022,59452.91343,163225.1351,28068.28442,386172.1407,1298.489822,138516.7303,13806.50864,58396.48272,9559.21104,80993.56066,320.9362978,19332.48941
Boston,Massachusetts,09/01/2022,P1,1,2022,91728.71944,0,0,561692.7127,1142.988511,169471.5889,11966.10887,0,0,64430.79963,322.0932773,17332.57292
Des Moines,Iowa,09/01/2022,P1,1,2022,21752.02788,0,0,122221.6546,1389.608015,33505.82946,1321.640246,0,0,7817.735672,276.3486438,1952.390149
Jacksonville,Florida,09/01/2022,P1,1,2022,32225.64033,94369.87688,16561.94515,204657.2252,1360.033443,71847.24901,6363.354742,27215.62019,4492.926064,37528.60311,348.9171555,8988.770694
Wichita,Kansas,09/01/2022,P1,1,2022,25302.82255,0,0,127390.6598,1371.464245,40091.02556,1408.994558,0,0,6601.025955,226.5856732,2090.979284
Raleigh/Greensboro,Carolina del Norte,09/01/2022,P1,1,2022,79811.28788,0,0,477766.6381,1261.255899,150320.578,11281.03071,0,0,60348.94601,303.0698324,16562.27304
Hartford/Springfield,Massachusetts,09/01/2022,P1,1,2022,57877.61615,0,0,345493.908,1082.948336,104662.8315,5255.466541,0,0,30970.06047,249.3377151,7652.581132
Denver,Colorado,09/01/2022,P1,1,2022,93237.17955,372528.3642,71348.2906,493703.8559,1441.22098,154597.7325,22577.8283,83100.4147,18636.11258,103324.8693,439.6372378,32813.57252
Los Angeles,California,09/01/2022,P1,1,2022,330915.4625,1225111.725,230455.3722,1890841.423,1426.923141,598565.857,42672.34371,125888.2223,26673.34209,222625.8149,397.29317,66040.50995
Sacramento,California,09/01/2022,P1,1,2022,47356.6306,0,0,270711.0181,1394.355601,81976.26723,7384.534284,0,0,41744.32617,387.4628882,10842.70121
Indianapolis,Indiana,09/01/2022,P1,1,2022,69209.32018,298238.057,56934.65399,370540.0271,1422.443274,123219.0725,3839.365288,9755.070851,2192.084461,18210.47225,256.2797839,5596.836929
Tampa/St Petersburg,Florida,09/01/2022,P1,1,2022,64074.79412,181896.9912,31152.89679,412588.4112,1321.968665,139983.9176,15443.6168,66243.87023,10948.34492,90665.5777,321.7742362,22195.48879
Kansas City,Kansas,09/01/2022,P1,1,2022,52712.74471,195926.3636,37220.22587,289734.0514,1415.249095,86720.35735,3842.833571,5065.46562,948.0300799,23091.52411,268.1058733,5727.253521
San Francisco/Oakland,California,09/01/2022,P1,1,2022,65604.66114,185301.6244,29675.0884,428431.0864,1522.909764,131611.4778,12164.31318,28074.42552,4721.483327,74739.97851,400.3341937,18019.44534
Boise,Idaho,09/01/2022,P1,1,2022,13339.77547,0,0,76106.5806,1552.168094,23220.64484,2251.516397,0,0,11299.80791,332.7678465,3211.558293
Phoenix/Tucson,Arizona,09/01/2022,P1,1,2022,128946.4271,471141.5755,88617.6637,717798.7547,1406.03521,228015.8341,25899.54018,90515.57761,20482.95918,122101.6862,443.7928897,40172.8681
Birmingham/Montgomery,Alabama,09/01/2022,P1,1,2022,105936.8903,0,0,613634.2857,1299.730642,222696.1823,10542.68389,0,0,59014.75235,210.3798328,15280.89795
Louisville,Kentucky,09/01/2022,P1,1,2022,42323.26244,0,0,225208.3152,1528.375395,75549.28662,1851.882177,0,0,8886.866593,206.1215229,2721.644766
Peoria/Springfield,Illinois,09/01/2022,P1,1,2022,55307.01783,196842.4745,38039.31012,296093.9232,1349.229494,93792.79028,2933.037683,7469.521777,1503.262831,14998.96085,232.3593801,4308.176161
Atlanta,Georgia,09/01/2022,P1,1,2022,104940.0438,0,0,647737.2596,1327.183273,231805.417,19417.13448,0,0,104786.1257,278.5606243,27006.59806
Chicago,Illinois,09/01/2022,P1,1,2022,193401.7266,806881.4538,141353.724,1123641.048,1441.271162,385274.0953,17613.14927,61547.13277,12784.82657,87649.01266,246.6687664,25871.36856
Little Rock,Arkansas,09/01/2022,P1,1,2022,27366.6198,0,0,149389.7917,1483.165795,52264.72496,1513.21807,0,0,7418.930686,226.3782325,2230.171739
Wichita,Kansas,16/01/2022,P1,1,2022,30568.15208,0,0,153091.6941,1362.984439,47131.67383,1824.406547,0,0,8583.460797,306.2540732,2679.980777
Atlanta,Georgia,16/01/2022,P1,1,2022,157878.5275,0,0,904272.7405,1335.352158,314066.4386,19053.14486,0,0,93813.53063,248.7543831,24394.71431
Denver,Colorado,16/01/2022,P1,1,2022,95753.53129,304763.3278,57970.18954,521020.6741,1390.449026,152930.1051,21744.47409,78742.73638,16334.3138,106868.8998,444.030158,31675.06657
Phoenix/Tucson,Arizona,16/01/2022,P1,1,2022,140350.8186,569909.1969,107746.1912,776134.9294,1418.014697,250217.2628,25218.44072,87932.35862,19899.03304,118558.7049,436.2895023,38830.82473
Indianapolis,Indiana,16/01/2022,P1,1,2022,80671.67021,346961.3563,66546.07819,431665.7482,1445.140916,140260.1939,3403.464689,9456.567321,2004.120855,16726.17909,229.0544901,4970.99213
Louisville,Kentucky,16/01/2022,P1,1,2022,46054.30623,0,0,246406.2542,1585.606923,80470.49876,1401.982407,0,0,6992.522016,175.0491934,2056.416447
Peoria/Springfield,Illinois,16/01/2022,P1,1,2022,60089.22811,218950.9242,43855.47001,316904.4354,1401.432078,100137.8555,2717.814832,7169.464025,1405.041912,14565.23578,222.2691232,3991.377213
San Diego,California,16/01/2022,P1,1,2022,61396.44656,209334.7501,39103.77084,355198.631,1476.953764,110987.1889,13305.62859,48566.04192,9997.326136,66839.15007,422.5147051,20067.04736
Kansas City,Kansas,16/01/2022,P1,1,2022,63564.77611,202883.6145,41249.14645,345816.0435,1446.146085,98923.74019,4915.592858,15324.67574,2523.002426,28150.63127,323.6166756,7265.432095
Miami/Ft Lauderdale,Florida,16/01/2022,P1,1,2022,66418.46064,279270.9168,46985.00241,429012.3487,1252.135427,179086.5797,19348.2877,73080.53337,11781.5819,117964.9782,319.9537568,27001.2601
Birmingham/Montgomery,Alabama,16/01/2022,P1,1,2022,120654.5415,0,0,684071.786,1396.364384,246823.5385,10107.74711,0,0,57360.31174,224.6687969,14440.64349
Sacramento,California,16/01/2022,P1,1,2022,54742.2656,0,0,314701.7351,1403.162153,92544.00256,9018.921278,0,0,47440.18959,389.5544045,13180.39034
Des Moines,Iowa,16/01/2022,P1,1,2022,31421.1558,0,0,157075.8453,1438.775025,45541.98017,1607.535459,0,0,9643.035734,315.7099039,2364.53134
Tampa/St Petersburg,Florida,16/01/2022,P1,1,2022,82204.11595,338346.9535,62091.00376,471985.0528,1371.619222,166784.9024,12580.90331,39222.97394,6257.771451,77144.75632,313.0496738,17933.01813
Charlotte,Carolina del Norte,16/01/2022,P1,1,2022,111826.6437,0,0,599669.2457,1360.097438,198837.2861,14338.98859,0,0,80215.45691,329.9129667,21302.47108
Raleigh/Greensboro,Carolina del Norte,16/01/2022,P1,1,2022,123929.9563,0,0,669018.7497,1247.33752,218305.147,12367.41216,0,0,68054.20968,281.0175642,18223.37974
Chicago,Illinois,16/01/2022,P1,1,2022,233411.7929,927622.3782,172347.6742,1302270.277,1470.302705,444690.0273,13630.98463,39763.83785,8615.313604,68034.40353,228.4863113,20116.09934
Los Angeles,California,16/01/2022,P1,1,2022,367666.9553,1423287.829,274882.3934,2037113.524,1451.740127,653708.8715,46063.36112,176078.342,37590.92484,223643.3796,409.9757555,69698.98258
Jacksonville,Florida,16/01/2022,P1,1,2022,38574.95726,156509.533,28541.76846,220862.2316,1370.359337,81404.61892,4513.257778,10506.82777,1790.338182,26982.85612,331.9365897,6353.507079
South Carolina,Carolina del Sur,16/01/2022,P1,1,2022,164665.6787,0,0,901683.3534,1395.391443,318589.8006,14195.06109,0,0,78760.57709,283.5070499,20940.99081
Hartford/Springfield,Massachusetts,16/01/2022,P1,1,2022,58015.04554,0,0,345195.2906,1161.534347,106238.5683,5624.11098,0,0,30540.20054,234.9662509,8254.592993
San Francisco/Oakland,California,16/01/2022,P1,1,2022,72973.56284,222489.5586,36005.24342,470660.8755,1529.548397,142524.4922,17393.22917,65677.84989,12979.76971,91505.56412,428.711077,25576.61865
Boise,Idaho,16/01/2022,P1,1,2022,12879.54167,0,0,74264.49757,1508.826588,22186.84281,2244.480675,0,0,11683.70201,355.9889216,3183.741981
Orlando,Florida,16/01/2022,P1,1,2022,71202.68692,290486.2081,53401.06051,407561.7097,1281.658319,152336.0627,12647.93003,28777.04966,5202.830825,72900.20154,329.4230627,17321.32824
Boston,Massachusetts,16/01/2022,P1,1,2022,89730.25402,0,0,558196.1128,1193.157364,166152.4903,10709.78389,0,0,56890.68562,271.9217915,15747.96729
Little Rock,Arkansas,16/01/2022,P1,1,2022,34554.54398,0,0,188081.6387,1561.000197,61552.09246,1760.798361,0,0,9119.216842,238.2834804,2577.085352
Wichita,Kansas,23/01/2022,P1,1,2022,26404.12295,0,0,133665.1357,1317.332758,41354.79301,1676.790017,0,0,8079.656302,334.3073876,2450.607418
Atlanta,Georgia,23/01/2022,P1,1,2022,117650.2049,0,0,715855.8836,1380.191827,245639.8648,13574.52181,0,0,61449.13041,256.7528603,18899.21124
Denver,Colorado,23/01/2022,P1,1,2022,94125.27548,343081.1026,66692.90574,488723.4672,1407.465346,149437.977,19444.68718,62698.32141,12799.16908,99150.77082,441.1117964,28378.6452
Phoenix/Tucson,Arizona,23/01/2022,P1,1,2022,131475.8197,571800.1125,103627.1383,736734.8052,1403.88025,234402.1073,20919.61271,59062.08347,12793.17047,107643.429,418.2917625,31682.80373
Indianapolis,Indiana,23/01/2022,P1,1,2022,79022.26282,322093.2991,62472.63434,416334.5034,1519.707107,135765.3443,2754.674144,7222.141557,1558.577311,13343.5016,222.0504425,4008.604427
Louisville,Kentucky,23/01/2022,P1,1,2022,40066.69626,0,0,214102.7869,1607.468368,69550.06395,1630.251468,0,0,8388.819474,208.7231923,2410.556135
Peoria/Springfield,Illinois,23/01/2022,P1,1,2022,52632.36742,189224.652,37188.91312,279962.7317,1393.733288,90252.67145,1870.598529,5389.563654,1066.923118,10118.87602,197.8936139,2743.981416
San Diego,California,23/01/2022,P1,1,2022,63348.07925,252676.3594,47830.198,349183.2333,1432.524212,113553.9951,10767.35547,28060.1574,5546.863515,60088.20475,393.2003099,16023.79929
Kansas City,Kansas,23/01/2022,P1,1,2022,62481.86603,206266.5743,43943.06618,319939.3895,1394.130152,94801.28427,4851.608614,6465.610811,1150.569979,28964.72585,335.4106004,7087.248755
Miami/Ft Lauderdale,Florida,23/01/2022,P1,1,2022,53444.82586,131132.602,21925.40934,380275.3432,1175.128628,142860.4915,25571.75839,96964.43148,21152.52563,120452.0388,292.7784307,37000.97581
Birmingham/Montgomery,Alabama,23/01/2022,P1,1,2022,112167.6735,0,0,645009.4104,1460.030112,232220.6379,9840.077457,0,0,47816.49697,220.1459218,13992.53962
Sacramento,California,23/01/2022,P1,1,2022,52919.25186,0,0,297945.5156,1383.315235,90342.44927,7541.242768,0,0,41271.4184,372.1776428,10996.62331
Des Moines,Iowa,23/01/2022,P1,1,2022,23659.27211,0,0,131669.8605,1394.932766,34964.38992,1583.929549,0,0,9115.885751,329.9443435,2310.001943
Tampa/St Petersburg,Florida,23/01/2022,P1,1,2022,69241.64775,203337.1831,37505.41128,433619.0083,1353.087932,145520.9928,20396.11089,72873.29311,16487.04344,92803.82898,315.7562303,29660.81004
Charlotte,Carolina del Norte,23/01/2022,P1,1,2022,67005.50093,0,0,417722.5928,1351.885433,125225.1004,8474.282633,0,0,40570.24269,291.9209027,12698.37723
Raleigh/Greensboro,Carolina del Norte,23/01/2022,P1,1,2022,83267.99085,0,0,523637.678,1277.160901,152045.4361,9109.045244,0,0,43377.61081,234.0406396,13345.49957
Chicago,Illinois,23/01/2022,P1,1,2022,220496.8158,925062.9246,174625.5605,1205585.517,1488.129668,432718.9168,10673.26362,31845.61942,6515.098491,56475.06962,204.7191539,15712.5145
Los Angeles,California,23/01/2022,P1,1,2022,353163.0173,1336669.662,260941.3784,1913255.149,1412.497141,620251.0363,41879.871,127277.5578,27167.03744,216275.7817,391.9045514,62598.02737
Jacksonville,Florida,23/01/2022,P1,1,2022,31663.23445,87974.12607,15927.16366,198575.3896,1324.717753,73133.91324,7129.57575,26940.40921,6046.963246,32474.49158,326.6214639,10356.15033
South Carolina,Carolina del Sur,23/01/2022,P1,1,2022,132293.515,0,0,782662.5599,1430.626268,261536.279,14750.52208,0,0,70975.90312,287.0852945,21680.17304
Hartford/Springfield,Massachusetts,23/01/2022,P1,1,2022,58881.71847,0,0,349224.1675,1237.927123,108165.0577,6447.417638,0,0,36338.15209,258.6380128,9528.805556
San Francisco/Oakland,California,23/01/2022,P1,1,2022,74400.98553,302828.6195,52386.41056,461185.4443,1469.951603,144035.6562,12413.67475,28751.20642,5081.823396,75267.6417,408.6220398,18344.25366
Boise,Idaho,23/01/2022,P1,1,2022,13293.23049,0,0,71988.86342,1553.930146,22678.99969,1909.244124,0,0,10819.601,351.2962768,2728.269056
Orlando,Florida,23/01/2022,P1,1,2022,61081.9093,161872.9653,30690.73703,379615.9086,1248.329191,131009.8501,17966.17794,59407.57303,13301.06567,83283.80827,328.7283605,25836.81166
Boston,Massachusetts,23/01/2022,P1,1,2022,96438.78872,0,0,570365.7541,1242.825849,177862.759,11924.51811,0,0,65315.60893,255.8776681,17496.90226
Little Rock,Arkansas,23/01/2022,P1,1,2022,27039.03808,0,0,147832.9801,1582.757516,51411.0713,1285.674483,0,0,6836.777181,221.6404251,1887.685664
Indianapolis,Indiana,30/01/2022,P1,1,2022,73033.50366,297723.8779,56641.47534,394419.083,1530.871539,127915.9626,3340.245522,10578.87586,2156.298231,16650.9255,240.077867,4892.082819
Charlotte,Carolina del Norte,30/01/2022,P1,1,2022,66028.07397,0,0,401884.8579,1425.732854,126460.6465,10038.04271,0,0,50986.3964,302.0663922,14752.15668
San Diego,California,30/01/2022,P1,1,2022,62006.34836,259306.9073,47226.91222,355101.2766,1467.992179,111734.2017,12864.46728,49647.93379,10308.80692,64190.34933,391.9308806,18859.23396
Miami/Ft Lauderdale,Florida,30/01/2022,P1,1,2022,70422.60268,265856.0467,47385.69698,446874.1234,1211.759294,161916.4533,25803.87162,109086.4462,22035.45322,129206.502,276.7940739,37433.98181
Boise,Idaho,30/01/2022,P1,1,2022,13797.42507,0,0,75866.09441,1604.308862,23748.63027,2554.005527,0,0,12855.85461,306.2699293,3688.544991
Orlando,Florida,30/01/2022,P1,1,2022,75936.93881,284084.9376,53883.09238,430217.2372,1244.00304,146523.3735,18291.68657,72372.37342,14924.18117,89699.58957,301.7054154,26536.2283
Little Rock,Arkansas,30/01/2022,P1,1,2022,26778.55868,0,0,149194.5614,1544.693819,52831.95405,1468.281597,0,0,7527.308391,225.2875722,2143.913757
Sacramento,California,30/01/2022,P1,1,2022,51868.75914,0,0,300362.4689,1411.263326,91302.13301,9095.618979,0,0,45737.06662,370.8572222,13253.49205
Wichita,Kansas,30/01/2022,P1,1,2022,28553.81447,0,0,146284.2169,1344.853834,44825.70507,1993.796844,0,0,9497.036149,343.0324607,2906.570695
Tampa/St Petersburg,Florida,30/01/2022,P1,1,2022,84214.10845,325878.6332,61482.89342,476179.5107,1352.83954,168594.0269,19080.83902,75535.78047,15599.5465,93303.77344,291.3038315,27761.73229
Raleigh/Greensboro,Carolina del Norte,30/01/2022,P1,1,2022,74798.85965,0,0,471204.8165,1304.889423,143218.6534,8513.062704,0,0,45421.34739,251.2665759,12404.33863
Hartford/Springfield,Massachusetts,30/01/2022,P1,1,2022,71617.25629,0,0,433972.0566,1263.438652,130704.7376,9433.750296,0,0,52160.29465,266.6077347,13857.82924
San Francisco/Oakland,California,30/01/2022,P1,1,2022,70586.08675,216625.9091,35469.46938,461310.6657,1448.575573,138828.245,18629.46002,80991.44158,16185.30194,95588.7471,395.0587354,27272.50169
Denver,Colorado,30/01/2022,P1,1,2022,97574.86405,347286.8177,66191.71032,521228.1309,1492.574642,158154.1981,24596.14778,104012.9713,22191.59991,116567.983,437.6318802,35845.08142
Louisville,Kentucky,30/01/2022,P1,1,2022,36409.4278,0,0,200893.877,1587.300691,65971.73779,1968.48591,0,0,9868.143681,266.0575416,2895.393889
South Carolina,Carolina del Sur,30/01/2022,P1,1,2022,115973.323,0,0,674324.7199,1439.567115,240363.203,12850.16768,0,0,66316.0408,286.6922935,18776.34257
Kansas City,Kansas,30/01/2022,P1,1,2022,63832.11603,208121.7887,41533.13112,354582.3598,1422.239369,99645.10061,6714.222373,23873.14345,4628.044178,35484.71451,334.8999901,9779.591437
Atlanta,Georgia,30/01/2022,P1,1,2022,127520.7095,0,0,731999.1572,1389.536045,269648.94,14420.22805,0,0,69752.98198,286.2028389,20698.1459
Phoenix/Tucson,Arizona,30/01/2022,P1,1,2022,152758.6365,590101.571,116203.1497,808785.5639,1461.603721,267043.2612,26475.36915,105345.7429,23726.68678,121973.213,414.8137758,39972.33474
Birmingham/Montgomery,Alabama,30/01/2022,P1,1,2022,108300.4516,0,0,617377.6549,1447.346414,232709.9904,8624.662392,0,0,43406.82816,209.2073368,12369.63842
Boston,Massachusetts,30/01/2022,P1,1,2022,110180.3414,0,0,669004.6173,1254.806528,204654.1758,18351.369,0,0,96449.19513,264.8313891,26848.17486
Des Moines,Iowa,30/01/2022,P1,1,2022,25595.50086,0,0,136406.2384,1381.583215,37386.40346,1976.773114,0,0,9484.91383,340.4564042,2878.962514
Jacksonville,Florida,30/01/2022,P1,1,2022,38263.7944,141186.6509,26135.1754,222529.065,1382.410706,84155.85578,7721.782973,31826.84217,6537.38839,37986.07716,317.8036801,11233.49939
Peoria/Springfield,Illinois,30/01/2022,P1,1,2022,58236.33999,229669.0653,43882.03321,313752.1656,1408.853384,98701.75466,2469.039939,9666.509198,1907.799111,12589.34298,219.1758756,3619.719784
Chicago,Illinois,30/01/2022,P1,1,2022,236678.2844,1002068.052,185446.8873,1327281.703,1483.371078,460956.6683,12188.76754,41056.12472,9169.200475,59115.82255,215.4055331,17904.93154
Los Angeles,California,30/01/2022,P1,1,2022,362387.0283,1540472.111,294995.7649,1986490.674,1427.880108,645090.8351,50493.8539,209180.296,44892.86532,241727.1416,390.7863397,75294.35206
Des Moines,Iowa,06/02/2022,P1,2,2022,34258.01046,0,0,162028.5556,1395.075574,52567.98861,1374.378949,0,0,6873.591164,319.0553374,2000.024187
South Carolina,Carolina del Sur,06/02/2022,P1,2,2022,118411.4165,0,0,713166.7636,1423.383184,238540.6367,12227.91532,0,0,65141.82831,283.2578891,17846.45786
Charlotte,Carolina del Norte,06/02/2022,P1,2,2022,62925.39584,0,0,383585.0629,1357.345733,117361.2682,8973.685308,0,0,47153.73334,282.4478889,13111.43877
San Diego,California,06/02/2022,P1,2,2022,66794.35428,264322.8181,50330.96089,367596.2944,1446.81597,119894.3692,8359.068846,30802.45365,5664.527172,46263.43289,359.9504408,12664.07967
Miami/Ft Lauderdale,Florida,06/02/2022,P1,2,2022,62090.20514,137000.0726,22594.27724,447724.6882,1190.146528,141371.6785,19970.48396,67012.37987,10540.59718,124663.4877,264.6966349,29007.28858
Denver,Colorado,06/02/2022,P1,2,2022,102488.1584,383267.4638,71660.91818,556334.5119,1501.203921,167215.6093,21283.31667,80040.10221,15774.10618,108211.6469,437.7203518,31176.5928
Boston,Massachusetts,06/02/2022,P1,2,2022,98418.94451,0,0,603477.1939,1230.357964,184554.2557,15915.62681,0,0,83668.98269,263.0110418,23236.82374
Jacksonville,Florida,06/02/2022,P1,2,2022,33299.67451,99102.91635,17366.16138,211000.5034,1377.748486,71921.42734,4414.649876,14601.41622,2323.468475,26872.71598,291.4339105,6428.860543
Peoria/Springfield,Illinois,06/02/2022,P1,2,2022,69779.38654,265347.1599,52768.84119,364150.1471,1423.871573,116765.9977,3558.406033,11784.92418,2312.902333,18592.65917,213.1072936,5215.70598
Wichita,Kansas,06/02/2022,P1,2,2022,31830.80802,0,0,163564.5644,1399.816376,49981.28547,1884.326568,0,0,9203.801828,319.5326852,2744.75184
Hartford/Springfield,Massachusetts,06/02/2022,P1,2,2022,62836.93261,0,0,381678.793,1232.094917,113878.9927,8091.232897,0,0,42916.8484,260.2863776,11854.4883
Los Angeles,California,06/02/2022,P1,2,2022,408740.8385,1629203.563,328240.3978,2142639.995,1445.756347,725015.0972,35093.68748,129405.1086,24162.10019,193603.3504,366.0224026,53728.74748
Indianapolis,Indiana,06/02/2022,P1,2,2022,83131.88127,347486.7185,65028.82664,455430.0978,1512.367093,145133.5827,6264.444921,21437.16119,4096.218035,32771.23419,273.3542766,9198.965285
Tampa/St Petersburg,Florida,06/02/2022,P1,2,2022,66529.44329,197373.1968,34649.88948,423599.7148,1353.828779,134482.874,13412.89512,30000.18922,4826.305831,81748.96718,278.3199681,19513.43456
Raleigh/Greensboro,Carolina del Norte,06/02/2022,P1,2,2022,73877.19375,0,0,447000.4703,1300.540876,136176.9429,10906.01221,0,0,56312.06362,238.6272374,15866.40244
Kansas City,Kansas,06/02/2022,P1,2,2022,67007.8121,261998.8005,52462.17653,349077.5241,1427.828109,107551.3069,4291.323993,7956.148098,1548.925399,23277.60513,292.6283593,6253.197017
San Francisco/Oakland,California,06/02/2022,P1,2,2022,88876.98186,413839.4716,64649.40712,576090.1072,1458.521174,168724.292,14267.44058,51993.03609,10190.19326,75349.00243,334.6098963,20960.0467
Boise,Idaho,06/02/2022,P1,2,2022,15061.01152,0,0,83065.57074,1595.296679,25915.53685,1921.088418,0,0,9804.229217,290.9388803,2791.155592
Phoenix/Tucson,Arizona,06/02/2022,P1,2,2022,162011.6828,628869.3067,120525.708,864622.2394,1435.453342,281041.858,22965.92153,91375.32345,18484.34194,117058.3576,432.8637111,35211.40088
Birmingham/Montgomery,Alabama,06/02/2022,P1,2,2022,116579.6088,0,0,671781.4858,1476.492389,243127.0502,7309.576838,0,0,41283.14473,206.2827033,10548.62787
Sacramento,California,06/02/2022,P1,2,2022,61119.32015,0,0,353929.5357,1439.646961,105247.5449,7431.128445,0,0,39609.89903,338.1006966,10867.83209
Louisville,Kentucky,06/02/2022,P1,2,2022,41611.55857,0,0,235587.4956,1537.797699,75934.39723,2434.90145,0,0,12903.47579,249.2344644,3584.916813
Atlanta,Georgia,06/02/2022,P1,2,2022,111935.3787,0,0,697199.2365,1369.547437,235819.9103,10250.2123,0,0,57741.61173,262.6162875,14789.58244
Orlando,Florida,06/02/2022,P1,2,2022,66848.04267,187216.5182,33388.2747,422843.1362,1250.687711,123279.8649,13314.3951,30260.75249,4815.604881,80318.25081,282.1457547,19323.70716
Chicago,Illinois,06/02/2022,P1,2,2022,230436.3522,919530.5749,175234.9946,1274850.861,1438.165305,446035.7002,14797.84803,24151.6457,5464.671825,78423.09051,224.0750157,21678.199
Little Rock,Arkansas,06/02/2022,P1,2,2022,36560.98337,0,0,206173.3921,1560.71753,66278.95959,1875.994008,0,0,9796.584991,218.570197,2736.02617
Des Moines,Iowa,13/02/2022,P1,2,2022,32249.03878,0,0,166085.2357,1384.952912,46097.10933,1497.018053,0,0,7168.177371,301.6980251,2185.679721
South Carolina,Carolina del Sur,13/02/2022,P1,2,2022,151407.7469,0,0,829229.3752,1395.690346,281351.4693,14185.54053,0,0,81301.4481,253.6636339,20708.69802
San Diego,California,13/02/2022,P1,2,2022,83748.46665,366249.2154,71073.47702,446187.3482,1502.39958,143673.6503,11500.91154,26015.36518,4750.273644,68173.63823,354.1848183,17611.29997
Miami/Ft Lauderdale,Florida,13/02/2022,P1,2,2022,89486.50812,284490.2644,55148.49454,565294.7829,1177.699459,175142.6674,18232.47096,56365.44662,8616.391901,117802.5418,253.7912544,26493.88491
